Período,"Number Of Orders, %","Number Of Orders","Produtos Vendidos",Desconto,Frete,Imposto,"Shipping Tax",Faturado,Reembolsado,SubTotal,"Total da Venda","Invoiced Cost","Gross Profit","Average Items Ordered","Average Discount","Average Subtotal","Average Shipping","Average Tax","Average Shipping Tax","Average Invoiced"
"01 Jan, 2022",0.1,16,33," -R$90,32","R$308,85","R$0,00","R$0,00","R$7.671,93",,"R$7.806,40","R$7.671,93","R$0,00","R$7.806,40",2.06," -R$5,65","R$487,90","R$19,30","R$0,00","R$0,00","R$479,50"
"02 Jan, 2022",0.1,21,52," -R$179,02","R$381,19","R$0,00","R$0,00","R$11.805,37",,"R$11.603,20","R$11.805,37","R$0,00","R$11.603,20",2.48," -R$8,52","R$552,53","R$18,15","R$0,00","R$0,00","R$562,16"
"03 Jan, 2022",0.1,30,71," -R$112,56","R$268,07","R$0,00","R$0,00","R$13.609,38",,"R$15.344,60","R$13.609,38","R$0,00","R$15.344,60",2.37," -R$3,75","R$511,49","R$8,94","R$0,00","R$0,00","R$453,65"
"04 Jan, 2022",0.2,42,91," -R$611,60","R$389,06","R$0,00","R$0,00","R$16.583,24",,"R$21.586,60","R$16.583,24","R$0,00","R$21.586,60",2.17," -R$14,56","R$513,97","R$9,26","R$0,00","R$0,00","R$394,84"
"05 Jan, 2022",0.3,66,135," -R$513,78","R$734,21","R$0,00","R$0,00","R$29.465,52",,"R$31.046,17","R$29.465,52","R$0,00","R$31.046,17",2.05," -R$7,78","R$470,40","R$11,12","R$0,00","R$0,00","R$446,45"
"06 Jan, 2022",0.2,54,114," -R$210,34","R$574,15","R$0,00","R$0,00","R$22.662,12",,"R$25.038,00","R$22.662,12","R$0,00","R$25.038,00",2.11," -R$3,90","R$463,67","R$10,63","R$0,00","R$0,00","R$419,67"
"07 Jan, 2022",0.2,42,74," -R$197,44","R$530,35","R$0,00","R$0,00","R$17.162,49",,"R$18.594,60","R$17.162,49","R$0,00","R$18.594,60",1.76," -R$4,70","R$442,73","R$12,63","R$0,00","R$0,00","R$408,63"
"08 Jan, 2022",0.1,17,44," -R$21,70","R$151,70","R$0,00","R$0,00","R$9.701,69",,"R$10.669,20","R$9.701,69","R$0,00","R$10.669,20",2.59," -R$1,28","R$627,60","R$8,92","R$0,00","R$0,00","R$570,69"
"09 Jan, 2022",0.2,37,82," -R$196,80","R$298,77","R$0,00","R$0,00","R$17.824,30",,"R$18.657,20","R$17.824,30","R$0,00","R$18.657,20",2.22," -R$5,32","R$504,25","R$8,07","R$0,00","R$0,00","R$481,74"
"10 Jan, 2022",0.2,48,94," -R$174,88","R$751,32","R$0,00","R$0,00","R$19.146,46",,"R$22.232,00","R$19.146,46","R$0,00","R$22.232,00",1.96," -R$3,64","R$463,17","R$15,65","R$0,00","R$0,00","R$398,88"
"11 Jan, 2022",0.2,35,104," -R$115,92","R$492,63","R$0,00","R$0,00","R$23.466,15",,"R$24.313,80","R$23.466,15","R$0,00","R$24.313,80",2.97," -R$3,31","R$694,68","R$14,08","R$0,00","R$0,00","R$670,46"
"12 Jan, 2022",0.3,61,123," -R$298,80","R$829,36","R$0,00","R$0,00","R$28.042,69",,"R$31.162,40","R$28.042,69","R$0,00","R$31.162,40",2.02," -R$4,90","R$510,86","R$13,60","R$0,00","R$0,00","R$459,72"
"13 Jan, 2022",0.2,52,108," -R$309,80","R$819,26","R$0,00","R$0,00","R$21.301,67",,"R$24.335,40","R$21.301,67","R$0,00","R$24.335,40",2.08," -R$5,96","R$467,99","R$15,76","R$0,00","R$0,00","R$409,65"
"14 Jan, 2022",0.2,41,92," -R$89,82","R$667,59","R$0,00","R$0,00","R$17.147,49",,"R$19.906,20","R$17.147,49","R$0,00","R$19.906,20",2.24," -R$2,19","R$485,52","R$16,28","R$0,00","R$0,00","R$418,23"
"15 Jan, 2022",0.2,40,79," -R$309,72","R$577,32","R$0,00","R$0,00","R$14.231,34",,"R$14.893,35","R$14.231,34","R$0,00","R$14.893,35",1.98," -R$7,74","R$372,33","R$14,43","R$0,00","R$0,00","R$355,78"
"16 Jan, 2022",0.2,36,89," -R$255,60","R$508,97","R$0,00","R$0,00","R$16.621,17",,"R$18.064,00","R$16.621,17","R$0,00","R$18.064,00",2.47," -R$7,10","R$501,78","R$14,14","R$0,00","R$0,00","R$461,70"
"17 Jan, 2022",0.2,36,66," -R$412,52","R$523,68","R$0,00","R$0,00","R$13.817,66",,"R$15.429,80","R$13.817,66","R$0,00","R$15.429,80",1.83," -R$11,46","R$428,61","R$14,55","R$0,00","R$0,00","R$383,82"
"18 Jan, 2022",0.2,46,101," -R$288,34","R$951,84","R$0,00","R$0,00","R$19.367,72",,"R$22.730,60","R$19.367,72","R$0,00","R$22.730,60",2.2," -R$6,27","R$494,14","R$20,69","R$0,00","R$0,00","R$421,04"
"19 Jan, 2022",1.6,338,926," -R$43.492,08","R$5.543,83","R$0,00","R$0,00","R$138.309,98",,"R$188.823,20","R$138.309,98","R$0,00","R$188.823,20",2.74," -R$128,67","R$558,65","R$16,40","R$0,00","R$0,00","R$409,20"
"20 Jan, 2022",0.7,157,449," -R$20.145,68","R$2.582,39","R$0,00","R$0,00","R$70.262,18",,"R$92.856,80","R$70.262,18","R$0,00","R$92.856,80",2.86," -R$128,32","R$591,44","R$16,45","R$0,00","R$0,00","R$447,53"
"21 Jan, 2022",0.4,96,219," -R$7.232,46","R$1.602,35","R$0,00","R$0,00","R$37.165,29",,"R$46.299,00","R$37.165,29","R$0,00","R$46.299,00",2.28," -R$75,34","R$482,28","R$16,69","R$0,00","R$0,00","R$387,14"
"22 Jan, 2022",0.4,82,191," -R$7.319,58","R$1.305,32","R$0,00","R$0,00","R$32.598,67",,"R$40.187,60","R$32.598,67","R$0,00","R$40.187,60",2.33," -R$89,26","R$490,09","R$15,92","R$0,00","R$0,00","R$397,54"
"23 Jan, 2022",0.3,64,169," -R$5.042,68","R$1.020,63","R$0,00","R$0,00","R$28.027,31",,"R$35.695,00","R$28.027,31","R$0,00","R$35.695,00",2.64," -R$78,79","R$557,73","R$15,95","R$0,00","R$0,00","R$437,93"
"24 Jan, 2022",0.4,86,183," -R$6.266,48","R$1.364,43","R$0,00","R$0,00","R$28.895,76",,"R$38.815,40","R$28.895,76","R$0,00","R$38.815,40",2.13," -R$72,87","R$451,34","R$15,87","R$0,00","R$0,00","R$336,00"
"25 Jan, 2022",0.9,186,472," -R$23.570,44","R$3.182,08","R$0,00","R$0,00","R$76.323,70",,"R$100.878,20","R$76.323,70","R$0,00","R$100.878,20",2.54," -R$126,72","R$542,36","R$17,11","R$0,00","R$0,00","R$410,34"
"26 Jan, 2022",0.9,194,519," -R$26.253,47","R$3.676,71","R$0,00","R$0,00","R$78.932,09",,"R$105.146,75","R$78.932,09","R$0,00","R$105.146,75",2.68," -R$135,33","R$541,99","R$18,95","R$0,00","R$0,00","R$406,87"
"27 Jan, 2022",0.6,128,305," -R$13.122,68","R$2.179,64","R$0,00","R$0,00","R$52.595,97",,"R$66.728,80","R$52.595,97","R$0,00","R$66.728,80",2.38," -R$102,52","R$521,32","R$17,03","R$0,00","R$0,00","R$410,91"
"28 Jan, 2022",0.4,90,206," -R$8.476,04","R$1.509,86","R$0,00","R$0,00","R$36.836,47",,"R$45.910,20","R$36.836,47","R$0,00","R$45.910,20",2.29," -R$94,18","R$510,11","R$16,78","R$0,00","R$0,00","R$409,29"
"29 Jan, 2022",0.5,98,262," -R$11.317,96","R$1.625,36","R$0,00","R$0,00","R$43.799,48",,"R$54.815,20","R$43.799,48","R$0,00","R$54.815,20",2.67," -R$115,49","R$559,34","R$16,59","R$0,00","R$0,00","R$446,93"
"30 Jan, 2022",0.4,91,231," -R$8.165,02","R$1.343,13","R$0,00","R$0,00","R$40.604,40",,"R$49.441,60","R$40.604,40","R$0,00","R$49.441,60",2.54," -R$89,73","R$543,31","R$14,76","R$0,00","R$0,00","R$446,20"
"31 Jan, 2022",0.4,89,180," -R$7.128,26","R$1.490,63","R$0,00","R$0,00","R$29.713,35",,"R$41.162,00","R$29.713,35","R$0,00","R$41.162,00",2.02," -R$80,09","R$462,49","R$16,75","R$0,00","R$0,00","R$333,86"
"01 Feb, 2022",0.4,86,183," -R$5.496,52","R$1.340,93","R$0,00","R$0,00","R$32.966,83",,"R$40.619,20","R$32.966,83","R$0,00","R$40.619,20",2.13," -R$63,91","R$472,32","R$15,59","R$0,00","R$0,00","R$383,34"
"02 Feb, 2022",0.3,64,116," -R$5.123,68","R$957,78","R$0,00","R$0,00","R$20.645,26",,"R$26.277,60","R$20.645,26","R$0,00","R$26.277,60",1.81," -R$80,06","R$410,59","R$14,97","R$0,00","R$0,00","R$322,58"
"03 Feb, 2022",0.4,85,188," -R$6.610,20","R$1.368,17","R$0,00","R$0,00","R$29.839,78",,"R$40.871,60","R$29.839,78","R$0,00","R$40.871,60",2.21," -R$77,77","R$480,84","R$16,10","R$0,00","R$0,00","R$351,06"
"04 Feb, 2022",0.3,72,161," -R$5.080,22","R$1.110,40","R$0,00","R$0,00","R$29.834,62",,"R$37.512,00","R$29.834,62","R$0,00","R$37.512,00",2.24," -R$70,56","R$521,00","R$15,42","R$0,00","R$0,00","R$414,37"
"05 Feb, 2022",0.3,70,169," -R$5.370,52","R$1.021,45","R$0,00","R$0,00","R$29.122,09",,"R$36.975,80","R$29.122,09","R$0,00","R$36.975,80",2.41," -R$76,72","R$528,23","R$14,59","R$0,00","R$0,00","R$416,03"
"06 Feb, 2022",0.4,76,176," -R$5.516,20","R$1.011,76","R$0,00","R$0,00","R$31.912,27",,"R$38.434,00","R$31.912,27","R$0,00","R$38.434,00",2.32," -R$72,58","R$505,71","R$13,31","R$0,00","R$0,00","R$419,90"
"07 Feb, 2022",0.3,70,150," -R$6.052,72","R$1.050,74","R$0,00","R$0,00","R$25.823,54",,"R$33.493,60","R$25.823,54","R$0,00","R$33.493,60",2.14," -R$86,47","R$478,48","R$15,01","R$0,00","R$0,00","R$368,91"
"08 Feb, 2022",0.3,72,146," -R$5.640,04","R$1.103,59","R$0,00","R$0,00","R$28.224,39",,"R$33.839,00","R$28.224,39","R$0,00","R$33.839,00",2.03," -R$78,33","R$469,99","R$15,33","R$0,00","R$0,00","R$392,01"
"09 Feb, 2022",0.4,76,140," -R$5.465,54","R$1.091,29","R$0,00","R$0,00","R$25.199,56",,"R$33.120,60","R$25.199,56","R$0,00","R$33.120,60",1.84," -R$71,92","R$435,80","R$14,36","R$0,00","R$0,00","R$331,57"
"10 Feb, 2022",0.4,93,201," -R$6.353,82","R$1.467,98","R$0,00","R$0,00","R$37.070,78",,"R$47.014,80","R$37.070,78","R$0,00","R$47.014,80",2.16," -R$68,32","R$505,54","R$15,78","R$0,00","R$0,00","R$398,61"
"11 Feb, 2022",0.4,82,177," -R$5.444,60","R$1.246,21","R$0,00","R$0,00","R$31.278,21",,"R$39.504,00","R$31.278,21","R$0,00","R$39.504,00",2.16," -R$66,40","R$481,76","R$15,20","R$0,00","R$0,00","R$381,44"
"12 Feb, 2022",0.3,65,144," -R$3.675,64","R$941,90","R$0,00","R$0,00","R$27.643,84",,"R$32.133,00","R$27.643,84","R$0,00","R$32.133,00",2.22," -R$56,55","R$494,35","R$14,49","R$0,00","R$0,00","R$425,29"
"13 Feb, 2022",0.4,78,172," -R$3.397,46","R$1.102,18","R$0,00","R$0,00","R$32.677,80",,"R$37.620,40","R$32.677,80","R$0,00","R$37.620,40",2.21," -R$43,56","R$482,31","R$14,13","R$0,00","R$0,00","R$418,95"
"14 Feb, 2022",0.3,57,116," -R$3.228,10","R$790,37","R$0,00","R$0,00","R$21.691,15",,"R$25.855,60","R$21.691,15","R$0,00","R$25.855,60",2.04," -R$56,63","R$453,61","R$13,87","R$0,00","R$0,00","R$380,55"
"15 Feb, 2022",0.4,83,167," -R$476,28","R$1.289,99","R$0,00","R$0,00","R$31.159,04",,"R$32.905,12","R$31.159,04","R$0,00","R$32.905,12",2.01," -R$5,74","R$396,45","R$15,54","R$0,00","R$0,00","R$375,41"
"16 Feb, 2022",0.6,133,271," -R$233,39","R$2.107,28","R$0,00","R$0,00","R$45.406,10",,"R$48.801,14","R$45.406,10","R$0,00","R$48.801,14",2.04," -R$1,75","R$366,93","R$15,84","R$0,00","R$0,00","R$341,40"
"17 Feb, 2022",0.6,127,289," -R$432,82","R$2.020,19","R$0,00","R$0,00","R$51.778,37",,"R$54.418,00","R$51.778,37","R$0,00","R$54.418,00",2.28," -R$3,41","R$428,49","R$15,91","R$0,00","R$0,00","R$407,70"
"18 Feb, 2022",0.4,97,216," -R$382,96","R$1.499,00","R$0,00","R$0,00","R$39.362,80",,"R$39.979,72","R$39.362,80","R$0,00","R$39.979,72",2.23," -R$3,95","R$412,16","R$15,45","R$0,00","R$0,00","R$405,80"
"19 Feb, 2022",0.4,78,165,"R$0,00","R$1.265,97","R$0,00","R$0,00","R$30.549,81",,"R$30.284,20","R$30.549,81","R$0,00","R$30.284,20",2.12,"R$0,00","R$388,26","R$16,23","R$0,00","R$0,00","R$391,66"
